geometry,id
"POLYGON ((38.87357744800189 45.09811870955496, 38.877005580739784 45.110566664699626, 38.89399305649737 45.11469457544572, 38.90755239951709 45.106376032924636, 38.9041242667792 45.09392716394407, 38.88713679102161 45.08979775131956, 38.87357744800189 45.09811870955496))",15
"POLYGON ((38.86344623772006 45.11888459646999, 38.86687437045796 45.1313280232779, 38.883861846215545 45.13545443214987, 38.89742118923526 45.12713891608693, 38.89399305649737 45.11469457544571, 38.877005580739784 45.11056666469961, 38.86344623772006 45.11888459646999))",16
"POLYGON ((38.96491152847015 44.96916404334818, 38.968339661208034 44.98164008252254, 38.98532713696563 44.985777307661984, 38.998886479985345 44.97743999551465, 38.995458347247464 44.96496304249896, 38.97847087148987 44.96082431547217, 38.96491152847015 44.96916404334818))",17
"POLYGON ((38.95478031818832 44.989976783914535, 38.958208450926215 45.00244829471641, 38.97519592668381 45.00658401796791, 38.98875526970352 44.99824973230555, 38.98532713696564 44.98577730766198, 38.96833966120804 44.98164008252253, 38.95478031818832 44.989976783914535))",18
"POLYGON ((38.9446491079065 45.01078196962335, 38.94807724064439 45.023248952052285, 38.96506471640198 45.02738317341601, 38.9786240594217 45.01905191423844, 38.97519592668381 45.0065840179679, 38.958208450926215 45.0024482947164, 38.9446491079065 45.01078196962335))",19
"POLYGON ((38.93451789762468 45.031579600474664, 38.93794603036256 45.04404205453261, 38.954933506120156 45.048174774009524, 38.96849284913987 45.03984654131497, 38.96506471640198 45.02738317341601, 38.94807724064439 45.023248952052285, 38.93451789762468 45.031579600474664))",20
"POLYGON ((38.92438668734285 45.052369676472544, 38.927814820080734 45.064827602163845, 38.944802295838336 45.0689588197557, 38.95836163885804 45.06063361354079, 38.954933506120156 45.04817477400952, 38.93794603036256 45.04404205453261, 38.92438668734285 45.052369676472544))",21
"POLYGON ((38.914255477061026 45.073152197625, 38.917683609798914 45.08560559495639, 38.93467108555651 45.08973531066573, 38.94823042857622 45.08141313092549, 38.94480229583834 45.0689588197557, 38.92781482008074 45.064827602163845, 38.914255477061026 45.073152197625))",22
"POLYGON ((38.9041242667792 45.09392716394407, 38.90755239951709 45.106376032924636, 38.92453987527468 45.110504246754786, 38.9380992182944 45.102185093482674, 38.93467108555651 45.08973531066572, 38.917683609798914 45.085605594956384, 38.9041242667792 45.09392716394407))",23
"POLYGON ((38.89399305649737 45.11469457544571, 38.89742118923526 45.12713891608693, 38.914408664992855 45.13126562804202, 38.92796800801257 45.122949501229876, 38.92453987527468 45.11050424675478, 38.90755239951709 45.10637603292463, 38.89399305649737 45.11469457544571))",24
"POLYGON ((38.98532713696563 44.985777307661984, 38.98875526970351 44.99824973230556, 39.005742745461106 45.00238575864337, 39.01930208848083 44.994050862225606, 39.01587395574294 44.981577523740356, 38.998886479985345 44.97743999551465, 38.98532713696563 44.985777307661984))",25
"POLYGON ((38.97519592668381 45.00658401796791, 38.9786240594217 45.01905191423846, 38.99561153517929 45.0231864386884, 39.009170878199 45.01485456875558, 39.00574274546111 45.00238575864337, 38.98875526970352 44.99824973230555, 38.97519592668381 45.00658401796791))",26
"POLYGON ((38.96506471640198 45.02738317341601, 38.96849284913987 45.039846541314986, 38.985480324897466 45.043979563877855, 38.999039667917174 45.03565072042854, 38.99561153517929 45.02318643868839, 38.9786240594217 45.01905191423844, 38.96506471640198 45.02738317341601))",27
"POLYGON ((38.954933506120156 45.048174774009524, 38.95836163885804 45.06063361354079, 38.97534911461564 45.064765134218185, 38.988908457635354 45.05643931724932, 38.985480324897466 45.043979563877855, 38.96849284913987 45.03984654131497, 38.954933506120156 45.048174774009524))",28
"POLYGON ((38.944802295838336 45.0689588197557, 38.94823042857621 45.08141313092549, 38.96521790433381 45.0855431497198, 38.97877724735353 45.077220359226736, 38.97534911461564 45.064765134218185, 38.95836163885804 45.06063361354079, 38.944802295838336 45.0689588197557))",29
"POLYGON ((38.93467108555651 45.08973531066573, 38.93809921829438 45.102185093482674, 38.955086694051985 45.10631361039706, 38.9686460370717 45.09799384637357, 38.96521790433382 45.0855431497198, 38.94823042857622 45.08141313092549, 38.93467108555651 45.08973531066573))",30
"POLYGON ((38.92453987527468 45.110504246754786, 38.92796800801257 45.122949501229876, 38.944955483770165 45.12707651626831, 38.95851482678987 45.118759778706554, 38.95508669405199 45.10631361039705, 38.9380992182944 45.102185093482674, 38.92453987527468 45.110504246754786))",31
"POLYGON ((38.914408664992855 45.13126562804202, 38.91783679773074 45.14370635418863, 38.93482427348834 45.147831867355855, 38.948383616508046 45.13951815624644, 38.944955483770165 45.1270765162683, 38.92796800801257 45.122949501229876, 38.914408664992855 45.13126562804202))",32
"POLYGON ((39.01587395574294 44.981577523740356, 39.01930208848083 44.994050862225606, 39.036289564238416 44.99818719164974, 39.04984890725813 44.989851684476555, 39.04642077452025 44.97737743214968, 39.029433298762655 44.97323960083776, 39.01587395574294 44.981577523740356))",33
"POLYGON ((39.00574274546111 45.00238575864337, 39.009170878199 45.01485456875558, 39.026158353956596 45.01898939629177, 39.039717696976304 45.01065691560364, 39.03628956423842 44.998187191649734, 39.01930208848083 44.9940508622256, 39.00574274546111 45.00238575864337))",34
"POLYGON ((38.99561153517929 45.02318643868839, 38.999039667917174 45.03565072042854, 39.01602714367477 45.039784046077436, 39.02958648669448 45.031454591873235, 39.026158353956596 45.018989396291765, 39.009170878199 45.014854568755574, 38.99561153517929 45.02318643868839))",35
"POLYGON ((38.985480324897466 45.043979563877855, 38.988908457635354 45.05643931724932, 39.00589593339294 45.06057114101235, 39.019455276412664 45.05224471328934, 39.01602714367477 45.039784046077436, 38.99903966791718 45.03565072042854, 38.985480324897466 45.043979563877855))",36
"POLYGON ((38.97534911461564 45.064765134218185, 38.97877724735353 45.077220359226736, 38.995764723111115 45.08135068110613, 39.00932406613083 45.073027279859986, 39.00589593339294 45.060571141012346, 38.988908457635354 45.05643931724932, 38.97534911461564 45.064765134218185))",37
"POLYGON ((38.96521790433382 45.0855431497198, 38.9686460370717 45.09799384637357, 38.985633512829295 45.102122666372345, 38.999192855849 45.09380229159715, 38.99576472311113 45.08135068110613, 38.97877724735353 45.07722035922673, 38.96521790433382 45.0855431497198))",38
"POLYGON ((38.95508669405199 45.10631361039705, 38.95851482678987 45.118759778706554, 38.97550230254747 45.122887096828514, 38.989061645567176 45.11456974851678, 38.985633512829295 45.10212266637233, 38.9686460370717 45.09799384637357, 38.95508669405199 45.10631361039705))",39
"POLYGON ((38.944955483770165 45.1270765162683, 38.948383616508046 45.13951815624644, 38.96537109226564 45.143643972496164, 38.97893043528535 45.13532965063879, 38.97550230254747 45.12288709682851, 38.95851482678988 45.118759778706554, 38.944955483770165 45.1270765162683))",40
"POLYGON ((39.036289564238416 44.99818719164974, 39.039717696976304 45.01065691560365, 39.0567051727339 45.01479204622611, 39.07026451575361 45.00645895478264, 39.066836383015726 44.99398831698699, 39.04984890725813 44.989851684476555, 39.036289564238416 44.99818719164974))",41
"POLYGON ((39.026158353956596 45.01898939629177, 39.02958648669448 45.03145459187324, 39.04657396245207 45.03558822060822, 39.06013330547178 45.02725815564902, 39.0567051727339 45.01479204622611, 39.039717696976304 45.01065691560364, 39.026158353956596 45.01898939629177))",42
"POLYGON ((39.01602714367477 45.039784046077436, 39.01945527641265 45.05224471328934, 39.036442752170245 45.056376840138114, 39.05000209518996 45.04804980166078, 39.04657396245207 45.03558822060822, 39.02958648669448 45.031454591873235, 39.01602714367477 45.039784046077436))",43
"POLYGON ((39.00589593339294 45.06057114101235, 39.00932406613083 45.073027279859986, 39.02631154188843 45.07715790482462, 39.03987088490814 45.068833892825154, 39.03644275217026 45.056376840138114, 39.019455276412664 45.05224471328934, 39.00589593339294 45.06057114101235))",44
"POLYGON ((38.995764723111115 45.08135068110613, 38.999192855849 45.09380229159716, 39.016180331606606 45.097931414680474, 39.029739674626306 45.08961042915329, 39.02631154188843 45.07715790482462, 39.00932406613083 45.073027279859986, 38.995764723111115 45.08135068110613))",45
"POLYGON ((38.985633512829295 45.102122666372345, 38.989061645567176 45.11456974851678, 39.00604912132477 45.118697369722454, 39.01960846434448 45.110379410660364, 39.016180331606606 45.09793141468047, 38.999192855849 45.09380229159715, 38.985633512829295 45.102122666372345))",46
"POLYGON ((38.97550230254747 45.122887096828514, 38.97893043528535 45.1353296506388, 38.995917911042945 45.13945576997125, 39.00947725406266 45.13114083736548, 39.00604912132477 45.11869736972245, 38.989061645567176 45.11456974851678, 38.97550230254747 45.122887096828514))",47
"POLYGON ((38.96537109226564 45.143643972496164, 38.96879922500352 45.156081997987066, 38.98578670076112 45.160206615451514, 38.99934604378083 45.15189470929172, 38.995917911042945 45.13945576997124, 38.97893043528535 45.13532965063879, 38.96537109226564 45.143643972496164))",48
"POLYGON ((39.066836383015726 44.99398831698699, 39.07026451575361 45.00645895478264, 39.0872519915112 45.010594388491405, 39.100811334530924 45.00226068629253, 39.097383201793036 44.989789134655155, 39.080395726035434 44.985652199058414, 39.066836383015726 44.99398831698699))",49
"POLYGON ((39.0567051727339 45.01479204622611, 39.06013330547178 45.02725815564902, 39.077120781229375 45.03139208747013, 39.0906801242491 45.02306141175582, 39.0872519915112 45.0105943884914, 39.07026451575361 45.00645895478263, 39.0567051727339 45.01479204622611))",50
"POLYGON ((39.04657396245207 45.03558822060822, 39.05000209518996 45.04804980166078, 39.066989570947555 45.05218223159536, 39.08054891396727 45.04385458236354, 39.077120781229375 45.03139208747013, 39.06013330547178 45.027258155649015, 39.04657396245207 45.03558822060822))",51
"POLYGON ((39.03644275217026 45.056376840138114, 39.03987088490814 45.068833892825154, 39.056858360665736 45.07296482087509, 39.07041770368544 45.064640198122085, 39.06698957094756 45.05218223159536, 39.05000209518997 45.04804980166078, 39.03644275217026 45.056376840138114))",52
"POLYGON ((39.02631154188843 45.07715790482462, 39.029739674626306 45.08961042915329, 39.04672715038391 45.0937398553213, 39.060286493403616 45.08541825904183, 39.056858360665736 45.072964820875086, 39.03987088490814 45.06883389282514, 39.02631154188843 45.07715790482462))",53
"POLYGON ((39.016180331606606 45.09793141468047, 39.01960846434448 45.110379410660364, 39.03659594010208 45.11450733494993, 39.050155283121796 45.10618876513712, 39.04672715038391 45.093739855321296, 39.029739674626306 45.08961042915329, 39.016180331606606 45.09793141468047))",54
"POLYGON ((39.00604912132477 45.11869736972245, 39.00947725406266 45.13114083736548, 39.026464729820255 45.13526725978086, 39.04002407283997 45.126951716426284, 39.03659594010208 45.11450733494992, 39.01960846434448 45.11037941066036, 39.00604912132477 45.11869736972245))",55
"POLYGON ((38.995917911042945 45.13945576997124, 38.99934604378083 45.15189470929172, 39.01633351953843 45.156019629838, 39.02989286255814 45.147707112931585, 39.02646472982026 45.13526725978085, 39.009477254062666 45.131140837365464, 38.995917911042945 45.13945576997124))",56
"POLYGON ((39.0872519915112 45.010594388491405, 39.09068012424909 45.023061411755826, 39.107667600006685 45.027195646663124, 39.12122694302639 45.01886436019364, 39.11779881028851 45.0063964230876, 39.100811334530924 45.00226068629253, 39.0872519915112 45.010594388491405))",57
"POLYGON ((39.077120781229375 45.03139208747013, 39.08054891396727 45.043854582363544, 39.09753638972486 45.04798731538402, 39.11109573274457 45.03965905539757, 39.107667600006685 45.027195646663124, 39.0906801242491 45.02306141175582, 39.077120781229375 45.03139208747013))",58
"POLYGON ((39.066989570947555 45.05218223159536, 39.07041770368544 45.06464019812209, 39.08740517944303 45.06877142925748, 39.10096452246275 45.0604461957507, 39.09753638972486 45.04798731538401, 39.08054891396727 45.04385458236354, 39.066989570947555 45.05218223159536))",59
"POLYGON ((39.056858360665736 45.07296482087509, 39.060286493403616 45.08541825904183, 39.07727396916121 45.089547988294676, 39.090833312180926 45.081225781262624, 39.08740517944304 45.068771429257474, 39.07041770368544 45.064640198122085, 39.056858360665736 45.07296482087509))",60
"POLYGON ((39.04672715038391 45.0937398553213, 39.05015528312179 45.10618876513713, 39.06714275887939 45.110316992510754, 39.08070210189909 45.10199781194689, 39.07727396916121 45.089547988294676, 39.060286493403616 45.08541825904183, 39.04672715038391 45.0937398553213))",61
"POLYGON ((39.03659594010208 45.11450733494993, 39.04002407283996 45.126951716426284, 39.057011548597565 45.131078441924814, 39.07057089161727 45.12276228782101, 39.06714275887939 45.11031699251075, 39.050155283121796 45.10618876513712, 39.03659594010208 45.11450733494993))",62
"POLYGON ((39.026464729820255 45.13526725978086, 39.02989286255814 45.14770711293159, 39.04688033831573 45.15183233655993, 39.060439681335446 45.14351920890646, 39.057011548597565 45.13107844192481, 39.04002407283997 45.126951716426284, 39.026464729820255 45.13526725978086))",63
"POLYGON ((39.01633351953843 45.156019629838, 39.019761652276316 45.16845495467929, 39.036749128033904 45.1725786764431, 39.050308471053626 45.164268575228675, 39.04688033831573 45.15183233655992, 39.02989286255814 45.147707112931585, 39.01633351953843 45.156019629838))",64
"POLYGON ((39.11779881028851 45.0063964230876, 39.12122694302639 45.01886436019364, 39.13821441878399 45.022998898187154, 39.1517737618037 45.01466700096242, 39.14834562906582 45.002198150014706, 39.13135815330823 44.998062110133304, 39.11779881028851 45.0063964230876))",65
"POLYGON ((39.107667600006685 45.027195646663124, 39.11109573274457 45.03965905539757, 39.12808320850217 45.043792091504, 39.14164255152188 45.03546322076278, 39.138214418783996 45.02299889818715, 39.1212269430264 45.01886436019363, 39.107667600006685 45.027195646663124))",66
"POLYGON ((39.09753638972486 45.04798731538401, 39.10096452246275 45.0604461957507, 39.11795199822035 45.064577729971646, 39.131511341240056 45.056251885710914, 39.12808320850217 45.043792091503995, 39.11109573274457 45.03965905539756, 39.09753638972486 45.04798731538401))",67
"POLYGON ((39.08740517944304 45.068771429257474, 39.090833312180926 45.081225781262624, 39.10782078793852 45.08535581360045, 39.12138013095823 45.077032995815564, 39.11795199822035 45.064577729971646, 39.10096452246275 45.0604461957507, 39.08740517944304 45.068771429257474))",68
"POLYGON ((39.07727396916121 45.089547988294676, 39.08070210189909 45.10199781194689, 39.097689577656695 45.106126342404764, 39.1112489206764 45.097806551089505, 39.10782078793852 45.085355813600444, 39.090833312180926 45.081225781262624, 39.07727396916121 45.089547988294676))",69
"POLYGON ((39.06714275887939 45.11031699251075, 39.07057089161727 45.12276228782101, 39.087558367374875 45.12688931640289, 39.10111771039458 45.118572551549455, 39.0976895776567 45.10612634240476, 39.0807021018991 45.10199781194689, 39.06714275887939 45.11031699251075))",70
"POLYGON ((39.057011548597565 45.13107844192481, 39.060439681335446 45.14351920890646, 39.07742715709304 45.14764473561708, 39.090986500112756 45.13933099721607, 39.087558367374875 45.126889316402874, 39.07057089161727 45.12276228782101, 39.057011548597565 45.13107844192481))",71
"POLYGON ((39.04688033831573 45.15183233655992, 39.050308471053626 45.164268575228675, 39.06729594681122 45.168392600073574, 39.08085528983093 45.160081888114014, 39.07742715709304 45.147644735617064, 39.060439681335446 45.14351920890645, 39.04688033831573 45.15183233655992))",72
"POLYGON ((39.13821441878399 45.022998898187154, 39.14164255152187 45.035463220762786, 39.158630027279465 45.039596559955235, 39.172189370299186 45.03126707845913, 39.168761237561306 45.01880184204218, 39.1517737618037 45.01466700096242, 39.13821441878399 45.022998898187154))",73
"POLYGON ((39.12808320850217 45.043792091504, 39.131511341240056 45.056251885710914, 39.14849881699765 45.06038372301749, 39.16205816001736 45.0520572680026, 39.15863002727948 45.039596559955235, 39.14164255152188 45.03546322076278, 39.12808320850217 45.043792091504))",74
"POLYGON ((39.11795199822035 45.064577729971646, 39.12138013095823 45.07703299581557, 39.138367606715825 45.08116333123849, 39.15192694973553 45.072839902700515, 39.14849881699765 45.06038372301748, 39.131511341240056 45.056251885710914, 39.11795199822035 45.064577729971646))",75
"POLYGON ((39.10782078793852 45.08535581360045, 39.1112489206764 45.097806551089505, 39.128236396434 45.10193538463177, 39.14179573945372 45.093614982564816, 39.138367606715825 45.081163331238486, 39.12138013095823 45.077032995815564, 39.10782078793852 45.08535581360045))",76
"POLYGON ((39.097689577656695 45.106126342404764, 39.10111771039457 45.11857255154946, 39.11810518615217 45.122699883214864, 39.131664529171886 45.11438250761143, 39.128236396434 45.10193538463177, 39.1112489206764 45.097806551089505, 39.097689577656695 45.106126342404764))",77
"POLYGON ((39.087558367374875 45.12688931640289, 39.09098650011274 45.13933099721608, 39.107973975870344 45.14345682700922, 39.12153331889006 45.13514247786023, 39.118105186152185 45.12269988321486, 39.10111771039458 45.118572551549455, 39.087558367374875 45.12688931640289))",78
"POLYGON ((39.07742715709304 45.14764473561708, 39.08085528983093 45.16008188811402, 39.097842765588524 45.16420621604025, 39.11140210860823 45.15589489333505, 39.10797397587035 45.14345682700921, 39.090986500112756 45.13933099721607, 39.07742715709304 45.14764473561708))",79
"POLYGON ((39.06729594681122 45.168392600073574, 39.0707240795491 45.18082522427188, 39.0877115553067 45.184948050337354, 39.101270898326405 45.17663975406371, 39.097842765588524 45.16420621604024, 39.08085528983093 45.160081888114014, 39.06729594681122 45.168392600073574))",80
